pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
496,Graphical chart,-10,Green,,-12,NA,better relative performance,-6,NA,green was portrayed in a better light,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,Control,None,Line
497,Graphical chart,-10,Green,,0,NA,"Green is on a steady upward trajectory, and blue appears to be in a slight decline but has generally hovered around the same level, so to me it seems like the two may intersect right around october 11, so I think it's hard to predict. But based on Green's trajectory, if I had to choose, I would pick Green.",10,NA,The text on the graph speaks favorably of blue,0,NA,18 - 24,4 year degree,Whether people notice text on graphs?,,GreenLeft,Green,Annotation,4,Blue,Line
498,Text,6,Green,,-6,NA,"The lines on the chart look like they will reach a point very close to each other on event day, it looks like green might just pass blue, although i think a tie is likely. I would like to be able to graph it out, it is hard to eyeball it.",-5,NA,They made a remark on the chart about Green improving market share,1,NA,55 - 64,4 year degree,How good people are at reading charts,,GreenLeft,Green,Annotation,2,Green,Line
499,Graphical chart,-25,Blue,,25,NA,Blue has a higher market share,0,NA,Data seems neutral,0,NA,45 - 54,4 year degree,Note sure,None,GreenLeft,Blue,Title,4,Blue,Line
500,Graphical chart,-8,,Blue,NA,-13,"Their rates were consistently higher, even when referencing the 11th.",NA,0,Because I didn't see any biased language.,NA,NA,18 - 24,,How people view charts.,Everything went well.,BlueLeft,Blue,Annotation,Control,Blue,Line
501,Text,13,Blue,,13,NA,they have better performace so far,-12,NA,they highlighted grreens performance positivily ,0,NA,35 - 44,Professional degree,,,GreenLeft,Blue,Annotation,2,Green,Line
502,Graphical chart,-12,,Blue,NA,-9,Blue has been higher historically and just has to hold its position to be higher on the day.,NA,-13,The title seems to be in favor of blue,NA,0,35 - 44,4 year degree,,,BlueLeft,Blue,Title,3,Blue,Line
503,Text,13,Green,,-11,NA,Because Green shows a known upward trend and Blue stays within a specific range,0,NA,"It would be best to get a neutral party, as to avoid biases ",-8,NA,25 - 34,Some college,,,GreenLeft,Green,Title,2,Green,Line
504,Graphical chart,-14,,Blue,NA,-12,The overall trends of the blue line makes me think that they would get the special funding.,NA,0,Because it showed both green and blue data populated in the same manner.,NA,1,35 - 44,4 year degree,,,BlueLeft,Blue,Annotation,4,Blue,Line
505,Graphical chart,-10,,Green,NA,8,Green has been having an upward trend while blue is more plateauing ,NA,8,"It shows that while green isn't doing as well as blue, it will be doing as well if not better than blue on the day that it matters",NA,10,18 - 24,4 year degree,,,BlueLeft,Green,Title,3,Blue,Line
506,Graphical chart,-13,Blue,,0,NA,They are nearing each other on the chart.,0,NA,I am not sure.,NA,NA,45 - 54,4 year degree,,,GreenLeft,Blue,Annotation,Control,Blue,Line
507,Graphical chart,-10,Blue,,4,NA,Blue is historically the winner,-5,NA,The growth of green was highlighted,0,NA,18 - 24,4 year degree,,,GreenLeft,Blue,Annotation,2,Green,Line
508,Graphical chart,-14,,Blue,NA,-25,Blue is higher on the chart,NA,-13,Because of the title of the chart,NA,0,25 - 34,4 year degree,,,BlueLeft,Blue,Title,4,Blue,Line
509,Graphical chart,-8,,Blue,NA,-19,Because the blue has been performing better steadily ,NA,0,Not really sure but probably neutral ,NA,NA,35 - 44,Professional degree,Ability to read graphs ,,BlueLeft,Blue,Title,Control,None,Line
510,Graphical chart,-11,,Blue,NA,-10,"Blue right now is in the lead and it's likely that they'll continue to stay in the lead over green. However, it's also very possible that green somehow bridges the gap to beat blue. ",NA,9,Green is shown to have had significant improvement and come close to beating blue whereas blue has largely remained stagnant ,NA,NA,18 - 24,Some college,,,BlueLeft,Blue,Title,Control,None,Line
511,Graphical chart,-22,Green,,-12,NA,Green continues to steadily increase while blue trends down. ,-8,NA,The author seems to favor green as it rarely declines. ,0,NA,18 - 24,Some college,,,GreenLeft,Green,Annotation,3,Green,Line
512,Graphical chart,-25,Green,,-13,NA,Green's market share is increasing while blue's is decreasing,0,NA,It doesn't seem biased,-25,NA,25 - 34,Professional degree,,,GreenLeft,Green,Annotation,4,Blue,Line
513,Graphical chart,-13,Blue,,18,NA,"Blue has larger swings in data, Green is riding but over a longer period of time.",-13,NA,"Because the time periods at the bottom axis, are not consistently thirty days apart, so it makes Blue's changes in market share seem more dramatic.",NA,NA,55 - 64,4 year degree,How slight differences in measurement can bias chart record for one group or another.,"I will now look at both text and charts for information, rather than leaning towards charts.  ",GreenLeft,Blue,Annotation,Control,Blue,Line
514,Text,18,Blue,,19,NA,they have been ahead the whole time,1,NA,it doesn't seem biased,1,NA,35 - 44,Some college,,,GreenLeft,Blue,Annotation,4,Green,Line
515,Graphical chart,-13,Green,,-17,NA,The trend is a much more positive trajectory than blue.,-13,NA,"Blue starts and ends in roughly the same place, while green climbs ever upward.",NA,NA,18 - 24,High school graduate,Perceptions of trends in chart format.,,GreenLeft,Green,Annotation,Control,Blue,Line
516,Text,13,Green,,-10,NA,The trend of the curve for green seems to be moving up while blue's seems to be stagnating. ,-8,NA,The added text of Green updated products and improved marketing suggests that Green did it to put a more positive spin on their results. ,0,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,4,Green,Line
517,Text,0,,Green,NA,12,"green company seems to be steadily rising, according to the chart, while the blue company is sporadic.",NA,1," because i'm not sure, so i just went with the middle.",NA,1,35 - 44,4 year degree,,,BlueLeft,Green,Annotation,2,Blue,Line
518,Graphical chart,-12,,Green,NA,5,Green has consistently increased in value.,NA,0,It is far from a sure thing that either company will succeed. ,NA,5,45 - 54,4 year degree,The subtle use of color?,,BlueLeft,Green,Title,2,Blue,Line
519,Text,2,,Green,NA,8,Green looks more stable,NA,1,I have no information to base my answer on except that I would hope a neutral party would be the author.,NA,NA,55 - 64,4 year degree,I don't know.,,BlueLeft,Green,Annotation,Control,Green,Line
520,Graphical chart,-14,,Green,NA,23,Because the green has had a steady improvement and the blue hasn't as much.,NA,0,I think the author could be either or. I would need more information.,NA,0,35 - 44,4 year degree,,,BlueLeft,Green,Title,3,Blue,Line
521,Graphical chart,-7,,Green,NA,16,It has such a noticeable growth that I believe it will win.,NA,0,This graph could have been made by either party.,NA,0,18 - 24,Some college,,,BlueLeft,Green,Title,3,Blue,Line
522,Graphical chart,-12,Green,,-9,NA,"Green has had a steady upward growth, so I think it will keep going. Blue has been up and down and recently has been going down.",20,NA,The title favors the Blue company.,0,NA,55 - 64,Professional degree,perception of graphs.,,GreenLeft,Green,Title,3,Blue,Line
523,Graphical chart,-12,,Blue,NA,-12,"Green was catching up to Blue but their market share has leveled off, and with only a month to go I don't they can surpass Blue on Oct. 11.",NA,5,I thought so because of the title of the graph.,NA,0,75 - 84,4 year degree,Interpretation of graphs,,BlueLeft,Blue,Title,2,Green,Line
524,Graphical chart,-13,Blue,,18,NA,"Although blue is currently winning and has always been winning, Green is catching up/ However, it's not clear whether they will catch up in time. ",0,NA,"There is no clear bias for either company outside of the facts. If the information was changed to favor blue, it is not clear as I do not have the data to confirm otherwise. ",0,NA,18 - 24,4 year degree,,,GreenLeft,Blue,Annotation,2,Blue,Line
525,Graphical chart,-16,Green,,-13,NA,Green appears to be continually rising while blue is declining a bit. ,0,NA,Green. The title of the graph is trying to put green in a positive light.,0,NA,18 - 24,4 year degree,Biases in advertising,None,GreenLeft,Green,Title,4,Green,Line
526,Graphical chart,-20,Green,,-24,NA,The chart tells me that Blue has been relatively flat while Green is on a steady uptrend. It's an indication that Green is gaining market shares so they will probably pass Blue in the next few months.,0,NA,I think this is a neutral party who is just showing us the data and not someone who is particularly biased towards one company.,-10,NA,25 - 34,4 year degree,If people can interpret the data on chart,no technical issues with this survey,GreenLeft,Green,Annotation,4,Green,Line
527,Text,8,,Green,NA,7,Green is steadily climbing and I think they could surpass blue within a month.,NA,0,It seems like a fair representation for both companies.,NA,0,25 - 34,High school graduate,,,BlueLeft,Green,Title,3,Blue,Line
528,Graphical chart,-6,Blue,,4,NA,"While the overall line looks flat, it continues in a positive direction towards Event Day.",0,NA,There appears to be no obvious bias in either line.,NA,NA,55 - 64,Professional degree,,,GreenLeft,Blue,Annotation,Control,Green,Line
529,Graphical chart,-11,,Blue,NA,-6,"smart office systems take time, energy, and money to switch over, which makes drastic changes in the makeup of those currently in the market unlikely to happen in one month. green and blue don't respond exactly to each other (have a negative correlation so that when one goes up, another goes down), which implies that there are more companies switching over to smart office systems in general OR that people are switching over from other, smaller smart office competitors. if geen continues in its linear upward trend, then it's possible to overtake blue. blue has fluctuations but remains about the same as where it started on the graph at this point-- whether it shoots up or down will depend on external factors, but if we're predicting it based on past behavior it's likely to shoot up  just as it did in earlier months on the graph. so, it'll probably be close but blue will eke out a victory. ",NA,25,"the title, ""green greater on sept 1st than feb 11th"" puts you in the mindset that green's catching up to blue, about to overtake it. that's what you'll want stakeholders or clients of green to take away from the graph when you show it to them, as opposed to something like ""blue still winning"" or something like that. ",NA,1,18 - 24,4 year degree,"cognitive bias, priming, framing, etc something to do with psychology",,BlueLeft,Blue,Title,2,Green,Line
530,Text,6,Blue,,8,NA,"blue has a higher amount, but blue is trending down while green is going up ",22,NA,"the graph makes it seem like overall blue is doing better, while it only matters how well blue is doing at this moment in time ",1,NA,18 - 24,Some college,,,GreenLeft,Blue,Title,3,Blue,Line
531,Graphical chart,-19,,Green,NA,14,"Green has been growing the entire time, where as blue has begun to drop off",NA,9,Because it shows green gaining traction and looking more favorable by October,NA,9,18 - 24,Some college,"I think this was sort of a ""is the glass half full, or half empty?"" type of experiment",,BlueLeft,Green,Annotation,2,Blue,Line
532,Graphical chart,-25,Green,,-18,NA,Green is on a consistent upward trend while Blue is much more volatile and has not changed much since the start date.,25,NA,"The text in between the two respective lines says that ""Blue offers the most advanced products and technology"". It would not make sense for a Green author to say that.",-13,NA,18 - 24,High school graduate,Perspectives on understanding visual data,,GreenLeft,Green,Annotation,4,Blue,Line
533,Graphical chart,-20,,Blue,NA,-25,They hold the higher market share over the course of the time period. ,NA,0,Data are facts and are not influenced by subjective reasonings. ,NA,NA,25 - 34,4 year degree,,,BlueLeft,Blue,Title,Control,None,Line
534,Graphical chart,-14,,Green,NA,18,green is in an uptrend,NA,1,why would it be otherwise,NA,1,65 - 74,4 year degree,interesting,not really,BlueLeft,Green,Annotation,2,Green,Line
535,Graphical chart,19,Blue,,14,NA,Blue offers most advances products. ,2,NA,Because of chart. ,2,NA,25 - 34,Some college,Survey about two companies. ,I like this graphical presentation. ,GreenLeft,Blue,Title,4,Blue,Line
536,Graphical chart,-11,Green,,-11,NA,green has a steady trend of increased market share % while Blue is more variable.,-2,NA,because it does not peg one as a clear winner,NA,NA,18 - 24,4 year degree,bias in charts,,GreenLeft,Green,Annotation,Control,Blue,Line
537,Graphical chart,-25,Blue,,25,NA,Their line is higher ,0,NA,Doesn't seem biased,0,NA,18 - 24,,,,GreenLeft,Blue,Title,3,Blue,Line
538,Graphical chart,-19,,Green,NA,11,Green is gaining market share while blue is kinda stagnant,NA,0,its just based on facts,NA,NA,45 - 54,High school graduate,,,BlueLeft,Green,Annotation,Control,Blue,Line
539,Graphical chart,-14,,Blue,NA,-14,"Blue tends to trend higher, green makes inconsistent jumps",NA,-20,"Blue was called ""Greater""",NA,9,25 - 34,2 year degree,,,BlueLeft,Blue,Annotation,2,Blue,Line
540,Graphical chart,-14,Green,,-12,NA,It looks like green is increasing in market share according to the graph while blue is staying the same or slightly declining. Green will probably surpass blue in market share by October 11th,-1,NA,I think it is pretty neutral. It shows the facts so it can't really favor one party or another unless numbers were manipulated ,-2,NA,25 - 34,4 year degree,Interpreting charts/graphs ,,GreenLeft,Green,Title,4,Blue,Line
541,Text,5,,Green,NA,7,"Blue has been trending downward whereas Green has been trending upward, so it will probably be close but Green seems to be on track to win.",NA,-23,"The title of the chart does not indicate the clear downward trend for Blue, it only describes that it is higher than Green even though Green is improving and Blue is not.",NA,0,18 - 24,Professional degree,How data is presented (e.g. chart titles) may skew our perceptions of data,,BlueLeft,Green,Title,3,Blue,Line
542,Graphical chart,-13,Green,,-16,NA,Green consistently(ish) going up while blue staying mostly the same(ish),0,NA,Because I have no reason to think it was anyone in particular,0,NA,35 - 44,Some college,,,GreenLeft,Green,Title,4,Green,Line
543,Text,14,,Green,NA,13,Green's incline is sharper than blue,NA,0,there was no bias,NA,0,25 - 34,Professional degree,,,BlueLeft,Green,Annotation,2,Blue,Line
544,Text,7,Blue,,3,NA,"Over time the two companies are trending closer and closer to each other, and seems like they might meet soon. However, because of historically stronger performances I gave a slight edge to blue.",0,NA,"I have no information on the author, and unless I have a reason to believe otherwise I just assume it's neutral. I could see how someone might assume it was sckewed though, like by data manipulation. But in which directiona nd by whom I couldn't say",NA,NA,25 - 34,Some college,,,GreenLeft,Blue,Annotation,Control,Blue,Line
545,Graphical chart,-13,,Green,NA,13,blue has remained at a constant level of market share while green seems to be growing. ,NA,-20,the title of the graph seems to be in favor of blue.,NA,0,18 - 24,Some college,,,BlueLeft,Green,Title,3,Blue,Line
546,Graphical chart,-13,Green,,-13,NA,"Green appears to be on an upward trajectory, while Blue is bouncing up and down within a range.",-13,NA,The chart makes Green look like it's gaining ground on Blue.,-13,NA,45 - 54,4 year degree,,,GreenLeft,Green,Title,4,Blue,Line
547,Text,13,,Green,NA,14,"They seem to be growing closer in market share over time, so the assumption is that the trend will continue.",NA,0,I have no reason to think otherwise.,NA,0,35 - 44,Doctorate,,,BlueLeft,Green,Title,4,Green,Line
548,Text,14,Green,,-12,NA,"Green has been on a steady uptick over the course of the year. I think they have a high incentive to perform higher on Event Day, to keep that upward trajectory going. ",-13,NA,I feel this chart better demonstrates their climb for success. ,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,Control,Blue,Line
549,Graphical chart,-6,,Blue,NA,-19,"Even though blue is kind of going down and green is going up, blue doesn't appear to be below what they have ever been. So I think it is likely blue will go back up. Also green looks like it has stalled.",NA,10,"Green is showing a huge increase from where they initially started, and blue has kind of stayed within the same range. This might show that the author is trying to make green look better.",NA,NA,25 - 34,High school graduate,Answering questions about charts. Seeing how people view charts and how certain data might sway them.,,BlueLeft,Blue,Annotation,Control,Blue,Line
550,Graphical chart,0,Blue,,2,NA,"Even though Blue's progress was up and down, and Green's steadily got better, Blue's started out higher and stayed consistently higher throughout the year.",0,NA,There is nothing that I can see that indicates any bias towards either company.,2,NA,35 - 44,4 year degree,,,GreenLeft,Blue,Annotation,2,Blue,Line
551,Text,13,Green,,-12,NA,green has a more steady increase,1,NA,i have no idea,1,NA,18 - 24,Some college,,,GreenLeft,Green,Annotation,2,Green,Line
552,Graphical chart,-6,,Blue,NA,-12,all of their numbers are consistently higher,NA,1,"theres no opinion, just information",NA,-13,45 - 54,2 year degree,i never know,,BlueLeft,Blue,Annotation,4,Green,Line
553,Graphical chart,-23,,Blue,NA,-13,Green is coming up and blue seems  to be coming down but not by much so I think they will still come out ahead. ,NA,-1,I would hope they have a neutral party make the chart. ,NA,0,45 - 54,4 year degree,Who wuld be higher on the graph on October 11th. ,,BlueLeft,Blue,Title,3,Blue,Line
554,Text,14,Blue,,5,NA,"Green is catching up, but blue is still ahead",0,NA,The gaps aren't too extreme,NA,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Annotation,Control,Green,Line
555,Graphical chart,-13,,Green,NA,12,They are trending upward while blue remained mostly stagnant,NA,10,It could be either company but I went with green because they were trending upward,NA,13,25 - 34,High school graduate,,,BlueLeft,Green,Title,3,Green,Line
556,Graphical chart,-12,Blue,,25,NA,Blue has a higher market share despite green growing steadily.,-12,NA,"I think the author of the visualization was possibly the green company because of the label ""green market share increases steadily"" which gives the green company a positive spin despite being behind in shares compared to the blue company.",1,NA,25 - 34,Some college,,,GreenLeft,Blue,Title,3,Green,Line
557,Graphical chart,-20,,Green,NA,0,Both are trending towards a common point.,NA,0,No indication that he has any bias towards or against either company,NA,NA,65 - 74,4 year degree,,,BlueLeft,Green,Annotation,Control,Green,Line
558,Graphical chart,-11,Blue,,14,NA,Blue has the highest percentage,-11,NA,They show blue trending down,1,NA,35 - 44,Some college,,,GreenLeft,Blue,Title,2,Blue,Line
559,Graphical chart,-16,,Blue,NA,-13,The advantage that Blue has over Green is gradually decreasing as the days go on.,NA,3,People can equally interpret either Blue or Green to win.,NA,0,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,2,Green,Line
560,Graphical chart,-16,Green,,-12,NA,Green is steadily trending up and blue is stagnant to downward in its trend,0,NA,Thereâ€™s nothing in the chart that makes me think there is bias one way or the other ,0,NA,25 - 34,Some college,,,GreenLeft,Green,Annotation,4,Blue,Line
561,Graphical chart,-3,Blue,,6,NA,Blue has been ahead this whole time and has been very slightly trending up. They appear likely for a rise in market share around the time of the end of the competition. Green has been rising at a steady rate though. It is likely going to be very close.,18,NA,"While the presentation of most of the graph appeared neutral the title definitely was not neutral. A more neutral title would have been ""Market Share from February to September"" and not include ""Blue Greater than Green...""",0,NA,45 - 54,Professional degree,Identifying bias in presented data.,,GreenLeft,Blue,Title,2,Blue,Line
562,Text,3,Blue,,12,NA,Blue percentages are consistly higher.,0,NA,There not info for me to answer that.,2,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Annotation,2,Blue,Line
563,Graphical chart,-5,,Blue,NA,-11,"While green is moving at a fast rate, I dont think it will move fast enough to catch up to blue in a month. Blue seems more stable and could stay around the same range for a month.",NA,0,There would be favoring one over the other and I just dont see it on the graph,NA,NA,25 - 34,2 year degree,,,BlueLeft,Blue,Title,Control,None,Line
564,Graphical chart,-20,Green,,-18,NA,Green seems to be steadily increasing each time. ,-13,NA,"Again, green seems to be increasing with no downfalls unlike blue. Something just kinda seems a little strange or off.",-7,NA,35 - 44,High school graduate,Analyzing two companies revenue growth from the data provided.,,GreenLeft,Green,Title,3,Green,Line
565,Graphical chart,-10,,Green,NA,5,The trend line for green is more consistently growing in a positive direction.,NA,-5,"The statement of blue offering the most advanced products and technology does not add to the data visualization, but was included anyway.",NA,0,25 - 34,4 year degree,,,BlueLeft,Green,Annotation,4,Blue,Line
566,Graphical chart,-25,Blue,,4,NA,average incline of green is close to average set price of blue,0,NA,no idea really? didnt look biased?,NA,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,Control,None,Line
567,Graphical chart,-17,,Blue,NA,-13,Blue has consistently held a greater market share than Green. I think Green will get very close to Blue on the event day but feel that Blue will prevail with a slight margin.,NA,1,The chart set up does not feel biased.,NA,1,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,4,Blue,Line
568,Text,-12,,Green,NA,1,GREEN is starting to catch up to BLUE as its declining,NA,0,The results seem fair and does not seemed biased towards one side,NA,1,18 - 24,4 year degree,The ability to identify charts,,BlueLeft,Green,Annotation,2,Green,Line
569,Graphical chart,-10,Blue,,8,NA,i think the blue will recovery while green is due to a market correction,0,NA,I think this is based on data so it would be a neutral observer,0,NA,25 - 34,4 year degree,how we perceive data and patterns,,GreenLeft,Blue,Title,3,Blue,Line
570,Text,12,,Blue,NA,-14,Blue has a higher market and it seems steady,NA,13,It shows Green on a projectile up,NA,NA,25 - 34,,,,BlueLeft,Blue,Annotation,Control,Green,Line
571,Graphical chart,-1,Blue,,19,NA,AHEAD AND BOTH LEVELING OFF,0,NA,CAN NOT TELL APPEARS NUETRAL,0,NA,55 - 64,Some college,,,GreenLeft,Blue,Title,4,Blue,Line
572,Text,18,Green,,-19,NA,Green is trending upward,-13,NA,Graph favors green company way too much,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,Control,Blue,Line
573,Graphical chart,-9,Green,,-13,NA,has a stronger uptick,0,NA,"Don't know, could be either one.",0,NA,65 - 74,High school graduate,,,GreenLeft,Green,Title,4,Green,Line
574,Graphical chart,-17,,Blue,NA,-25,Bue has the highest percentage.,NA,0,There's nothing that tells me that it is biased.,NA,1,25 - 34,Some college,,,BlueLeft,Blue,Title,3,Blue,Line
575,Graphical chart,-16,,Green,NA,13,They are gaining quickly,NA,15,It shows them gaining the lead ,NA,2,18 - 24,Some college,What people actually see when reading data,,BlueLeft,Green,Annotation,2,Green,Line
576,Graphical chart,-11,Green,,-9,NA,"Green is steadily increasing over time, while Blue has stayed at the same average level with some serious fluctuation.",0,NA,It seems neutral,NA,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,Control,Blue,Line
577,Graphical chart,-19,,Green,NA,4,"Even though blue has been higher, green has been catching up to it towards the end. So I think that green can continue to go up.",NA,3,"It is just showing the growth of both, but maybe since green has been growing so fast, it might be green",NA,5,18 - 24,4 year degree,,,BlueLeft,Green,Title,3,Green,Line
578,Graphical chart,-25,,Blue,NA,-20,Blue has consistently been more than Green in percentage market share,NA,0,There is no reason to make fake charts to make one company better than the other. The party is most likely neutral. ,NA,0,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,4,Green,Line
579,Graphical chart,-21,Green,,-13,NA,The chart suggests that the market share is on the rise,-13,NA,green chart is on a constant rise no major dips,-14,NA,65 - 74,4 year degree,Charts can be misleading.,,GreenLeft,Green,Title,2,Green,Line
580,Graphical chart,-5,Blue,,5,NA,"Green is increasing steadily, but unless blue really dips in the next month, it doesn't look like green will increase enough to cover the gap.",-5,NA,"An annotation mentions that ""Green increases steadily"", but no such comment or annotation is made about blue.",0,NA,25 - 34,4 year degree,How presentation of information can influence opinions about that information.,,GreenLeft,Blue,Annotation,3,Green,Line
581,Graphical chart,-17,Green,,-13,NA,theyre trending upwards,0,NA,Cause its showing the history of the companies in months span,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,Control,None,Line
582,Graphical chart,-15,Green,,-7,NA,"Green continues to increase and Blue is slowly decreasing, but they might accidentally tie if Blue stays consistent.",0,NA,The data presented from both companies does not seem to favor one or the other since there is a possibility that they might tie.,NA,NA,18 - 24,High school graduate,,,GreenLeft,Green,Title,Control,None,Line
583,Text,15,,Blue,NA,-13,Blue has a greater percentage of the market share than green,NA,14,"There is no evidence to suggest either blue or green was the author, but the title does suggest that green might have been because it indicates green is better now than in the beginning when this data was collected.",NA,0,25 - 34,4 year degree,"It was a good, clear, straightforward survey. The charts and information made you think outside the box.",Good survey!,BlueLeft,Blue,Title,2,Green,Line
584,Graphical chart,-13,,Blue,NA,-7,green doesn't have enough trajectory to pass blue based on past trends,NA,0,shows blue in a steady lead with green possibly not making it by the deadline,NA,4,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,4,Green,Line
585,Text,9,,Green,NA,13,its increasing ,NA,8,because it is increasing ,NA,11,18 - 24,2 year degree,,,BlueLeft,Green,Annotation,3,Blue,Line
586,Graphical chart,-8,,Green,NA,10,they have a solid upwards trend.,NA,-6,The blue line seems darker and able to be read easier,NA,-8,25 - 34,Some college,Graphs and who authors them,None,BlueLeft,Green,Annotation,3,Blue,Line
587,Graphical chart,-11,Blue,,3,NA,blue has a slight advantage but green has only been rising ,0,NA,I don't see any biased ,NA,NA,25 - 34,High school graduate,none,none,GreenLeft,Blue,Title,Control,None,Line
588,Graphical chart,-14,,Blue,NA,-12,Blue is above green in the chart and has more market share,NA,-12,Green wouldn't make a chart showing themselves losing,NA,-8,18 - 24,Some college,Who makes a data visual and what the underlying message is,,BlueLeft,Blue,Annotation,2,Blue,Line
589,Graphical chart,-6,Blue,,13,NA,The graph shows they have been higher on the chart the entire time.,0,NA,There is no way to tell who the author was.,1,NA,25 - 34,High school graduate,How data is perceived through graphs.,,GreenLeft,Blue,Title,4,Blue,Line
590,Graphical chart,-5,,Green,NA,13,"because green has been steadily increasing over the past few months, while blue has recently decreased a little",NA,0,it seems fairly unbiased,NA,0,18 - 24,Some college,,,BlueLeft,Green,Title,4,Blue,Line
591,Text,12,Blue,,13,NA,They appear to have a higher percentage.,0,NA,I have no idea. not much to go on,NA,NA,25 - 34,Some college,,,GreenLeft,Blue,Annotation,Control,Green,Line
592,Graphical chart,-6,,Blue,NA,-13,I don't think there's enough time for Green to catch up if the previous trend holds. ,NA,0,It's just numbers that don't really favor one company or the other. ,NA,0,25 - 34,4 year degree,How people interpret data in charts.,,BlueLeft,Blue,Title,3,Green,Line
593,Graphical chart,-12,Blue,,25,NA,They are ahead of green according to the chart.,13,NA,I don't have a good reason,1,NA,45 - 54,4 year degree,,,GreenLeft,Blue,Annotation,4,Blue,Line
594,Graphical chart,-25,Green,,-13,NA,"Blue seems to be between the same range and does not appear to be increasing market share. Meanwhile, though green has been second to blue from February to September, it has been steadily increasing which leads me to think this trend will continue. ",0,NA,There is no indication that there is bias. It appears this accurately measures the market share and the difference in an easily understandable manner. ,1,NA,25 - 34,4 year degree,To see if we believe there is bias in the chart and to see who we predict will win based on the graph. ,No,GreenLeft,Green,Annotation,2,Blue,Line
595,Graphical chart,12,,Blue,NA,-13,Blue has been ahead all along,NA,-5,Blue could have put together the chart.,NA,-4,65 - 74,4 year degree,,,BlueLeft,Blue,Annotation,2,Green,Line
596,Graphical chart,-15,,Green,NA,21,Green is steadily gaining and blue is steadily dropping,NA,0,I don't really see a bias from this article judging from the chart shown.,NA,NA,18 - 24,Professional degree,,,BlueLeft,Green,Title,Control,None,Line
597,Graphical chart,-8,Blue,,21,NA,They have been steadily winning green and have a low possibility of losing.,14,NA,it's because blue is winning.,14,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,3,Green,Line
598,Graphical chart,-5,Blue,,4,NA,"Blue has consistently held a higher share. However, green has been catching up and blue's has been slightly declining lately.",0,NA,"It doesn't seem to very clearly favor one or the other; although blue does seem to be in the lead, it is not unquestionably so. It's hard to imagine a particularly biased party making a balanced-looking chart.",0,NA,35 - 44,Professional degree,,,GreenLeft,Blue,Title,3,Blue,Line
599,Graphical chart,-6,Blue,,5,NA,"they're higher now, green might plateau ",0,NA,only neutral party should make a graph like this,0,NA,25 - 34,4 year degree,graph vs text,none,GreenLeft,Blue,Title,2,Blue,Line
600,Text,12,,Green,NA,3,they are leveling upward,NA,-13,the headline favors blue,NA,0,45 - 54,4 year degree,,,BlueLeft,Green,Title,2,Blue,Line
601,Graphical chart,-5,,Green,NA,12,"Blue has been steadily declining in percentage market share since late July and since Green's percentage has been constantly increasing for a good majority of this time range, it is more likely that Green will win.",NA,0,There are no signs indicating that the author is in favor of a certain company.,NA,NA,18 - 24,Some college,,,BlueLeft,Green,Annotation,Control,Green,Line
602,Graphical chart,-13,Blue,,22,NA,Blue is at a higher percentage market share than green.,13,NA,It shows Blue in a better perspective than green and favors them.,0,NA,18 - 24,4 year degree,How people read and interpret data.,,GreenLeft,Blue,Annotation,3,Green,Line
603,Graphical chart,-5,,Blue,NA,-13,"Green is catching up to Blue's market share, but I don't believe they will overtake them within a month based on the chart.",NA,0,Nothing on the graph seems to indicate an author biased towards one party.,NA,NA,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,Control,Blue,Line
604,Graphical chart,-3,Green,,-13,NA,Because their market share seems to be going up faster than the blue company's market share seems to be declining. ,0,NA,I don't know,NA,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,Control,None,Line
605,Text,5,,Blue,NA,-6,"I think blue is still more likely to win because while green has been steadily gaining a higher percentage, it's only a few percents a month, and there's only a month left for them to surpass blue.",NA,15,"I think it's possible that this chart was created by the green company because of the mention of updated products and marketing, which wasn't strictly necessary to understand the point of this chart.",NA,0,18 - 24,High school graduate,,,BlueLeft,Blue,Annotation,4,Green,Line
606,Graphical chart,-5,Green,,-13,NA,green looks like they're going up more and more and blue looks unstable,-5,NA,title talks about green doing better,0,NA,35 - 44,Less than high school,,,GreenLeft,Green,Title,4,Green,Line
